subscription_id,user_id,plan,start_date,end_date,mrr
1,1,free,2025-10-16,,0.0
1,2,free,2024-10-08,,0.0
1,3,free,2024-04-14,,0.0
1,4,free,2024-03-30,,0.0
1,5,free,2024-01-31,,0.0
1,6,free,2025-06-01,,0.0
1,7,pro,2024-07-22,,29.0
1,8,free,2025-07-12,,0.0
1,9,free,2025-08-26,,0.0
1,10,free,2024-06-12,,0.0
1,11,free,2024-10-11,,0.0
1,12,free,2024-04-14,,0.0
1,13,pro,2025-01-02,,29.0
1,14,pro,2024-09-27,,29.0
1,15,free,2025-04-15,,0.0
1,16,free,2024-03-21,,0.0
1,17,pro,2025-09-25,,29.0
1,18,free,2025-08-14,,0.0
1,19,free,2024-02-16,,0.0
1,20,pro,2024-03-22,,29.0
1,21,free,2025-01-24,,0.0
1,22,free,2025-01-08,,0.0
1,23,free,2024-08-02,,0.0
1,24,free,2025-11-30,,0.0
1,25,free,2025-10-12,,0.0
1,26,free,2024-09-07,,0.0
1,27,enterprise,2024-10-03,,199.0
1,28,free,2025-12-05,,0.0
1,29,pro,2024-11-28,,29.0
1,30,pro,2024-08-22,,29.0
1,31,free,2025-02-14,,0.0
1,32,pro,2025-08-03,,29.0
1,33,free,2024-08-05,,0.0
1,34,free,2025-10-20,,0.0
1,35,free,2024-05-22,,0.0
1,36,free,2025-07-05,,0.0
1,37,pro,2025-03-14,,29.0
1,38,free,2025-01-05,,0.0
1,39,free,2025-06-05,,0.0
1,40,free,2024-04-22,,0.0
1,41,free,2025-11-27,,0.0
1,42,free,2025-01-29,,0.0
1,43,free,2025-06-25,,0.0
1,44,free,2024-01-12,,0.0
1,45,pro,2025-11-29,,29.0
1,46,free,2025-10-18,,0.0
1,47,free,2025-03-21,,0.0
1,48,enterprise,2024-09-26,,199.0
1,49,pro,2025-06-03,,29.0
1,50,pro,2024-11-01,,29.0
1,51,free,2025-09-15,,0.0
1,52,free,2024-06-14,,0.0
1,53,free,2024-01-01,,0.0
1,54,free,2024-01-20,,0.0
1,55,free,2024-11-10,,0.0
1,56,pro,2025-08-03,,29.0
1,57,pro,2025-05-12,,29.0
1,58,free,2024-05-08,,0.0
1,59,free,2025-07-16,,0.0
1,60,free,2025-09-13,,0.0
1,61,pro,2025-07-06,,29.0
1,62,pro,2024-07-24,,29.0
1,63,free,2025-11-18,,0.0
1,64,free,2025-06-13,,0.0
1,65,free,2024-08-18,,0.0
1,66,free,2025-08-25,,0.0
1,67,free,2024-08-13,,0.0
1,68,free,2025-10-08,,0.0
1,69,pro,2024-02-02,,29.0
1,70,free,2025-06-10,,0.0
1,71,free,2025-05-12,,0.0
1,72,free,2025-08-07,,0.0
1,73,pro,2025-04-29,,29.0
1,74,free,2024-04-06,,0.0
1,75,free,2024-12-28,,0.0
1,76,free,2024-02-25,,0.0
1,77,free,2024-04-10,,0.0
1,78,pro,2024-12-13,,29.0
1,79,free,2024-09-11,,0.0
1,80,free,2025-04-04,,0.0
1,81,free,2024-10-12,,0.0
1,82,pro,2025-03-29,,29.0
1,83,free,2024-04-10,,0.0
1,84,enterprise,2024-01-16,,199.0
1,85,free,2024-06-19,,0.0
1,86,pro,2024-08-06,,29.0
1,87,free,2024-06-17,,0.0
1,88,pro,2024-09-28,,29.0
1,89,free,2024-10-19,,0.0
1,90,free,2025-07-23,,0.0
1,91,free,2024-06-07,,0.0
1,92,free,2024-02-29,,0.0
1,93,pro,2024-03-03,,29.0
1,94,free,2024-02-21,,0.0
1,95,free,2025-06-27,,0.0
1,96,pro,2024-03-23,,29.0
1,97,free,2025-09-01,,0.0
1,98,free,2025-02-17,,0.0
1,99,free,2024-09-09,,0.0
1,100,free,2025-09-26,,0.0
1,101,free,2025-08-20,,0.0
1,102,free,2024-09-24,,0.0
1,103,free,2024-11-17,,0.0
1,104,free,2024-05-14,,0.0
1,105,free,2025-04-13,,0.0
1,106,free,2024-01-10,,0.0
1,107,free,2024-04-12,,0.0
1,108,free,2025-06-02,,0.0
1,109,pro,2024-03-11,,29.0
1,110,free,2024-10-18,,0.0
1,111,free,2025-12-21,,0.0
1,112,free,2025-06-25,,0.0
1,113,pro,2024-11-02,,29.0
1,114,free,2024-05-17,,0.0
1,115,free,2025-07-20,,0.0
1,116,free,2025-09-11,,0.0
1,117,free,2024-07-27,,0.0
1,118,free,2025-06-01,,0.0
1,119,free,2024-04-04,,0.0
1,120,free,2024-02-15,,0.0
1,121,enterprise,2025-10-14,,199.0
1,122,free,2025-03-28,,0.0
1,123,free,2025-07-28,,0.0
1,124,pro,2025-12-08,,29.0
1,125,pro,2024-02-06,2024-08-29,29.0
1,126,free,2025-07-19,,0.0
1,127,free,2024-02-12,,0.0
1,128,free,2025-01-01,,0.0
1,129,free,2025-11-13,,0.0
1,130,enterprise,2025-02-20,,199.0
1,131,pro,2024-06-07,,29.0
1,132,enterprise,2024-06-15,,199.0
1,133,free,2025-02-26,,0.0
1,134,pro,2024-12-06,,29.0
1,135,pro,2025-11-16,,29.0
1,136,free,2024-09-30,,0.0
1,137,free,2024-04-20,,0.0
1,138,free,2025-04-26,,0.0
1,139,free,2024-12-24,,0.0
1,140,free,2024-08-16,,0.0
1,141,free,2025-02-12,,0.0
1,142,free,2024-10-12,,0.0
1,143,free,2025-02-13,,0.0
1,144,pro,2024-12-05,,29.0
1,145,free,2024-09-24,,0.0
1,146,free,2024-02-09,,0.0
1,147,pro,2024-12-19,,29.0
1,148,free,2025-03-22,,0.0
1,149,free,2024-04-28,,0.0
1,150,free,2024-07-13,,0.0
1,151,free,2025-03-22,,0.0
1,152,pro,2025-12-04,,29.0
1,153,free,2025-11-17,,0.0
1,154,pro,2024-03-12,2024-10-07,29.0
1,155,free,2025-09-30,,0.0
1,156,free,2024-11-03,,0.0
1,157,free,2025-02-22,,0.0
1,158,free,2024-10-29,,0.0
1,159,free,2025-03-06,,0.0
1,160,pro,2025-11-24,,29.0
1,161,free,2025-09-22,,0.0
1,162,pro,2025-07-15,,29.0
1,163,free,2024-10-20,,0.0
1,164,free,2025-09-13,,0.0
1,165,free,2025-03-28,,0.0
1,166,free,2025-06-07,,0.0
1,167,free,2024-06-22,,0.0
1,168,free,2025-06-11,,0.0
1,169,free,2024-12-09,,0.0
1,170,free,2025-11-19,,0.0
1,171,free,2024-05-30,,0.0
1,172,free,2025-05-01,,0.0
1,173,free,2025-04-11,,0.0
1,174,free,2025-08-12,,0.0
1,175,free,2025-01-28,,0.0
1,176,free,2024-05-31,,0.0
1,177,pro,2024-04-19,,29.0
1,178,pro,2024-06-29,,29.0
1,179,free,2025-06-14,,0.0
1,180,pro,2024-09-12,,29.0
1,181,free,2025-04-12,,0.0
1,182,free,2025-11-14,,0.0
1,183,free,2025-09-01,,0.0
1,184,pro,2025-09-19,,29.0
1,185,pro,2025-03-12,,29.0
1,186,pro,2025-04-01,,29.0
1,187,free,2025-05-01,,0.0
1,188,free,2025-10-14,,0.0
1,189,free,2025-05-11,,0.0
1,190,free,2025-03-26,,0.0
1,191,free,2024-08-28,,0.0
1,192,free,2025-07-07,,0.0
1,193,free,2024-08-24,,0.0
1,194,free,2025-12-24,,0.0
